"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Buffalo Bills",BUF,"5 out of 5 stars","5 out of 5 stars","35.0","+6"
"2","New England Patriots",NE,"3 out of 5 stars","2 out of 5 stars","27.2","+7"
"3","Tampa Bay Buccaneers",TB,"3 out of 5 stars","3 out of 5 stars","34.0","0"
"4","Los Angeles Rams",LAR,"3 out of 5 stars","3 out of 5 stars","33.0","-2"
"5","Dallas Cowboys",DAL,"2 out of 5 stars","3 out of 5 stars","33.0","+15"
"6","Indianapolis Colts",IND,"4 out of 5 stars","5 out of 5 stars","25.2","+2"
"7","Arizona Cardinals",ARI,"2 out of 5 stars","2 out of 5 stars","31.5","+10"
"8","New Orleans Saints",NO,"2 out of 5 stars","3 out of 5 stars","31.5","+7"
"9","Denver Broncos",DEN,"3 out of 5 stars","3 out of 5 stars","31.0","+1"
"10","Green Bay Packers",GB,"3 out of 5 stars","3 out of 5 stars","24.8","+4"
"11","Carolina Panthers",CAR,"2 out of 5 stars","2 out of 5 stars","24.8","+11"
"12","Cleveland Browns",CLE,"4 out of 5 stars","2 out of 5 stars","24.8","0"
"13","Minnesota Vikings",MIN,"3 out of 5 stars","3 out of 5 stars","31.0","+8"
"14","Baltimore Ravens",BAL,"4 out of 5 stars","4 out of 5 stars","30.5","-9"
"15","Pittsburgh Steelers",PIT,"3 out of 5 stars","3 out of 5 stars","30.5","-14"
"16","Miami Dolphins",MIA,"2 out of 5 stars","2 out of 5 stars","24.4","-3"
"17","Kansas City Chiefs",KC,"4 out of 5 stars","4 out of 5 stars","30.5","-6"
"18","San Francisco 49ers",SF,"4 out of 5 stars","2 out of 5 stars","30.5","-12"
"19","Philadelphia Eagles",PHI,"1 out of 5 stars","1 out of 5 stars","24.4","+6"
"20","Tennessee Titans",TEN,"3 out of 5 stars","3 out of 5 stars","23.6","-2"
"21","Chicago Bears",CHI,"2 out of 5 stars","1 out of 5 stars","29.5","-2"
"22","Los Angeles Chargers",LAC,"5 out of 5 stars","4 out of 5 stars","29.5","+2"
"23","Cincinnati Bengals",CIN,"5 out of 5 stars","5 out of 5 stars","28.5","+8"
"24","Seattle Seahawks",SEA,"3 out of 5 stars","4 out of 5 stars","28.0","-8"
"25","New York Giants",NYG,"2 out of 5 stars","3 out of 5 stars","28.0","-2"
"26","Washington Football Team",WAS,"2 out of 5 stars","3 out of 5 stars","27.5","-22"
"27","Las Vegas Raiders",LV,"3 out of 5 stars","3 out of 5 stars","26.5","-"
"28","Houston Texans",HOU,"1 out of 5 stars","1 out of 5 stars","26.5","-2"
"29","Jacksonville Jaguars",JAC,"4 out of 5 stars","4 out of 5 stars","26.0","-2"
"30","Atlanta Falcons",ATL,"3 out of 5 stars","3 out of 5 stars","25.0","-1"
"31","New York Jets",NYJ,"1 out of 5 stars","2 out of 5 stars","24.5","-3"
"32","Detroit Lions",DET,"3 out of 5 stars","3 out of 5 stars","24.5","-2"
