"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Jonathan Taylor",IND,"3 out of 5 stars","3 out of 5 stars","70.4","+7"
"2","Joe Mixon",CIN,"2 out of 5 stars","3 out of 5 stars","82.5","+11"
"3","Najee Harris",PIT,"3 out of 5 stars","3 out of 5 stars","81.0","+7"
"4","Austin Ekeler",LAC,"3 out of 5 stars","3 out of 5 stars","71.0","+7"
"5","Nick Chubb",CLE,"4 out of 5 stars","5 out of 5 stars","54.0","+1"
"6","Leonard Fournette",TB,"4 out of 5 stars","2 out of 5 stars","67.0","+27"
"7","Cordarrelle Patterson",ATL,"3 out of 5 stars","4 out of 5 stars","66.5","-"
"8","Darrell Henderson Jr.",LAR,"3 out of 5 stars","3 out of 5 stars","66.5","+17"
"9","James Robinson",JAC,"3 out of 5 stars","5 out of 5 stars","65.0","+9"
"10","Alvin Kamara",NO,"4 out of 5 stars","2 out of 5 stars","63.0","-6"
"11","Ezekiel Elliott",DAL,"1 out of 5 stars","1 out of 5 stars","62.5","-6"
"12","Antonio Gibson",WAS,"5 out of 5 stars","5 out of 5 stars","60.5","0"
"13","James Conner",ARI,"3 out of 5 stars","3 out of 5 stars","59.5","+21"
"14","Saquon Barkley",NYG,"4 out of 5 stars","4 out of 5 stars","56.5","-5"
"15","Aaron Jones",GB,"3 out of 5 stars","3 out of 5 stars","45.2","-8"
"16","Alexander Mattison",MIN,"4 out of 5 stars","3 out of 5 stars","56.5","+28"
"17","Elijah Mitchell",SF,"3 out of 5 stars","4 out of 5 stars","56.5","+54"
"18","D'Andre Swift",DET,"3 out of 5 stars","3 out of 5 stars","55.0","+2"
"19","David Montgomery",CHI,"3 out of 5 stars","2 out of 5 stars","53.5","-4"
"20","AJ Dillon",GB,"3 out of 5 stars","3 out of 5 stars","40.8","+15"
"21","Josh Jacobs",LV,"2 out of 5 stars","2 out of 5 stars","49.0","-5"
"22","Javonte Williams",DEN,"4 out of 5 stars","4 out of 5 stars","48.5","+5"
"23","Kareem Hunt",CLE,"4 out of 5 stars","5 out of 5 stars","38.8","+1"
"24","Melvin Gordon III",DEN,"4 out of 5 stars","4 out of 5 stars","46.5","+6"
"25","Clyde Edwards-Helaire",KC,"3 out of 5 stars","3 out of 5 stars","45.5","-11"
"26","Miles Sanders",PHI,"3 out of 5 stars","1 out of 5 stars","36.0","-7"
"27","Myles Gaskin",MIA,"2 out of 5 stars","3 out of 5 stars","34.4","-6"
"28","Damien Harris",NE,"4 out of 5 stars","3 out of 5 stars","33.6","-2"
"29","Rhamondre Stevenson",NE,"4 out of 5 stars","3 out of 5 stars","33.2","+19"
"30","Devonta Freeman",BAL,"3 out of 5 stars","3 out of 5 stars","36.5","-"
"31","Tony Pollard",DAL,"1 out of 5 stars","1 out of 5 stars","36.0","+12"
"32","Chuba Hubbard",CAR,"3 out of 5 stars","3 out of 5 stars","28.8","+19"
"33","Alex Collins",SEA,"3 out of 5 stars","3 out of 5 stars","35.5","-"
"34","Mark Ingram II",NO,"4 out of 5 stars","2 out of 5 stars","35.0","+20"
"35","Michael Carter",NYJ,"3 out of 5 stars","3 out of 5 stars","34.5","+3"
"36","Dalvin Cook",MIN,"4 out of 5 stars","3 out of 5 stars","33.0","-34"
"37","Chase Edmonds",ARI,"3 out of 5 stars","3 out of 5 stars","33.0","-8"
"38","Darrel Williams",KC,"3 out of 5 stars","3 out of 5 stars","32.0","+25"
"39","Jamaal Williams",DET,"3 out of 5 stars","3 out of 5 stars","32.0","+1"
"40","Boston Scott",PHI,"3 out of 5 stars","1 out of 5 stars","24.8","+40"
"41","Dontrell Hilliard",TEN,"3 out of 5 stars","2 out of 5 stars","24.0","-"
"42","Kenyan Drake",LV,"2 out of 5 stars","2 out of 5 stars","29.5","-1"
"43","D'Onta Foreman",TEN,"3 out of 5 stars","2 out of 5 stars","22.8","+51"
"44","Latavius Murray",BAL,"3 out of 5 stars","3 out of 5 stars","28.0","+6"
"45","Ty Johnson",NYJ,"3 out of 5 stars","3 out of 5 stars","26.5","+19"
"46","J.D. McKissic",WAS,"5 out of 5 stars","5 out of 5 stars","26.0","-1"
"47","Sony Michel",LAR,"3 out of 5 stars","3 out of 5 stars","26.0","-8"
"48","David Johnson",HOU,"2 out of 5 stars","3 out of 5 stars","26.0","-6"
"49","Nyheim Hines",IND,"3 out of 5 stars","3 out of 5 stars","20.4","-3"
"50","Devontae Booker",NYG,"4 out of 5 stars","4 out of 5 stars","25.0","+16"
"51","Jeff Wilson Jr.",SF,"3 out of 5 stars","4 out of 5 stars","25.0","+34"
"52","Devin Singletary",BUF,"3 out of 5 stars","3 out of 5 stars","23.0","-15"
"53","Matt Breida",BUF,"3 out of 5 stars","3 out of 5 stars","23.0","+43"
"54","Ronald Jones II",TB,"4 out of 5 stars","2 out of 5 stars","22.5","-22"
"55","Mike Davis",ATL,"3 out of 5 stars","4 out of 5 stars","21.0","-33"
"56","Zack Moss",BUF,"3 out of 5 stars","3 out of 5 stars","21.0","-20"
"57","Jordan Howard",PHI,"3 out of 5 stars","1 out of 5 stars","16.8","-"
"58","Tevin Coleman",NYJ,"3 out of 5 stars","3 out of 5 stars","20.5","-11"
"59","Samaje Perine",CIN,"2 out of 5 stars","3 out of 5 stars","20.5","+30"
"60","Rex Burkhead",HOU,"2 out of 5 stars","3 out of 5 stars","20.0","-"
"61","D'Ernest Johnson",CLE,"4 out of 5 stars","5 out of 5 stars","15.6","-"
"62","Ameer Abdullah",CAR,"3 out of 5 stars","3 out of 5 stars","15.6","+35"
"63","Khalil Herbert",CHI,"3 out of 5 stars","2 out of 5 stars","19.0","+38"
"64","Jeremy McNichols",TEN,"3 out of 5 stars","2 out of 5 stars","14.8","-"
"65","Kenneth Gainwell",PHI,"3 out of 5 stars","1 out of 5 stars","14.0","-9"
"66","Jaret Patterson",WAS,"5 out of 5 stars","5 out of 5 stars","17.0","+3"
"67","Wayne Gallman Jr.",ATL,"3 out of 5 stars","4 out of 5 stars","17.0","-2"
"68","Brandon Bolden",NE,"4 out of 5 stars","3 out of 5 stars","13.2","-"
"69","DeeJay Dallas",SEA,"3 out of 5 stars","3 out of 5 stars","16.0","-"
"70","Carlos Hyde",JAC,"3 out of 5 stars","5 out of 5 stars","15.5","+9"
"71","Trey Sermon",SF,"3 out of 5 stars","4 out of 5 stars","14.5","-40"
"72","Tony Jones Jr.",NO,"4 out of 5 stars","2 out of 5 stars","14.0","-15"
"73","Phillip Lindsay",MIA,"2 out of 5 stars","3 out of 5 stars","11.2","-24"
"74","Larry Rountree III",LAC,"3 out of 5 stars","3 out of 5 stars","14.0","+14"
"75","Eno Benjamin",ARI,"3 out of 5 stars","3 out of 5 stars","14.0","+9"
"76","Giovani Bernard",TB,"4 out of 5 stars","2 out of 5 stars","14.0","-21"
"77","Damien Williams",CHI,"3 out of 5 stars","2 out of 5 stars","13.5","-18"
"78","Marlon Mack",IND,"3 out of 5 stars","3 out of 5 stars","10.4","-18"
"79","Salvon Ahmed",MIA,"2 out of 5 stars","3 out of 5 stars","10.0","-12"
"80","Qadree Ollison",ATL,"3 out of 5 stars","4 out of 5 stars","12.5","+2"
"81","Peyton Barber",LV,"2 out of 5 stars","2 out of 5 stars","12.5","+21"
"82","Malcolm Brown",MIA,"2 out of 5 stars","3 out of 5 stars","10.0","-14"
"83","Chris Evans",CIN,"2 out of 5 stars","3 out of 5 stars","12.0","-"
"84","Austin Walter",NYJ,"3 out of 5 stars","3 out of 5 stars","11.5","-"
"85","Godwin Igwebuike",DET,"3 out of 5 stars","3 out of 5 stars","11.0","-"
"86","Rashaad Penny",SEA,"3 out of 5 stars","3 out of 5 stars","10.5","-33"
"87","JaMycal Hasty",SF,"3 out of 5 stars","4 out of 5 stars","10.5","-"
"88","Patrick Taylor Jr.",GB,"3 out of 5 stars","3 out of 5 stars","8.4","-"
"89","Travis Homer",SEA,"3 out of 5 stars","3 out of 5 stars","10.0","-"
"90","Joshua Kelley",LAC,"3 out of 5 stars","3 out of 5 stars","9.0","-13"
"91","Benny Snell Jr.",PIT,"3 out of 5 stars","3 out of 5 stars","9.0","-19"
"92","Jermar Jefferson",DET,"3 out of 5 stars","3 out of 5 stars","8.5","-"
"93","Justin Jackson",LAC,"3 out of 5 stars","3 out of 5 stars","8.5","-20"
"94","Kyle Juszczyk",SF,"3 out of 5 stars","4 out of 5 stars","8.0","-"
"95","Duke Johnson Jr.",MIA,"2 out of 5 stars","3 out of 5 stars","6.4","-"
"96","Kalen Ballage",PIT,"3 out of 5 stars","3 out of 5 stars","7.5","-1"
"97","Adrian Peterson",SEA,"3 out of 5 stars","3 out of 5 stars","6.0","-"
"98","Ty'Son Williams",BAL,"3 out of 5 stars","3 out of 5 stars","7.0","-40"
"99","Jerick McKinnon",KC,"3 out of 5 stars","3 out of 5 stars","7.0","-9"
"100","Derrick Gore",KC,"3 out of 5 stars","3 out of 5 stars","7.0","-"
"101","Le'Veon Bell",FA,"-","-","5.6","-"
"102","La'Mical Perine",NYJ,"3 out of 5 stars","3 out of 5 stars","7.0","-21"
"103","Anthony McFarland Jr.",PIT,"3 out of 5 stars","3 out of 5 stars","6.5","-41"
"104","Scottie Phillips",HOU,"2 out of 5 stars","3 out of 5 stars","6.0","-"
"105","Ke'Shawn Vaughn",TB,"4 out of 5 stars","2 out of 5 stars","5.5","-14"
"106","Derrick Henry",TEN,"3 out of 5 stars","2 out of 5 stars","4.4","-103"
"107","Royce Freeman",HOU,"2 out of 5 stars","3 out of 5 stars","5.5","-21"
"108","J.J. Taylor",NE,"4 out of 5 stars","3 out of 5 stars","4.0","-38"
"109","Elijhaa Penny",NYG,"4 out of 5 stars","4 out of 5 stars","5.0","-"
"110","Mike Boone",DEN,"4 out of 5 stars","4 out of 5 stars","5.0","-18"
"111","Gary Brightwell",NYG,"4 out of 5 stars","4 out of 5 stars","4.5","-"
"112","Devine Ozigbo",NE,"4 out of 5 stars","3 out of 5 stars","3.6","-"
"113","Jordan Wilkins",JAC,"3 out of 5 stars","5 out of 5 stars","4.5","-"
"114","Tarik Cohen",CHI,"3 out of 5 stars","2 out of 5 stars","4.5","-36"
"115","Kerryon Johnson",FA,"-","-","3.6","-22"
"116","Ito Smith",FA,"-","-","3.2","-17"
"117","Dare Ogunbowale",JAC,"3 out of 5 stars","5 out of 5 stars","4.0","-"
"118","Demetric Felton",CLE,"4 out of 5 stars","5 out of 5 stars","3.2","-"
"119","Kene Nwangwu",MIN,"4 out of 5 stars","3 out of 5 stars","4.0","-"
