"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Travis Kelce",KC,"4 out of 5 stars","4 out of 5 stars","59.0","0"
"2","Mark Andrews",BAL,"3 out of 5 stars","4 out of 5 stars","47.0","+3"
"3","George Kittle",SF,"3 out of 5 stars","3 out of 5 stars","46.0","0"
"4","Darren Waller",LV,"3 out of 5 stars","3 out of 5 stars","40.0","-2"
"5","Rob Gronkowski",TB,"3 out of 5 stars","2 out of 5 stars","35.5","+6"
"6","Dawson Knox",BUF,"4 out of 5 stars","4 out of 5 stars","33.5","+26"
"7","T.J. Hockenson",DET,"2 out of 5 stars","3 out of 5 stars","29.0","-1"
"8","Kyle Pitts",ATL,"3 out of 5 stars","3 out of 5 stars","29.0","-4"
"9","Mike Gesicki",MIA,"1 out of 5 stars","2 out of 5 stars","22.8","+4"
"10","Dalton Schultz",DAL,"1 out of 5 stars","2 out of 5 stars","28.0","+26"
"11","Dallas Goedert",PHI,"3 out of 5 stars","2 out of 5 stars","22.4","-1"
"12","Pat Freiermuth",PIT,"2 out of 5 stars","3 out of 5 stars","27.0","+7"
"13","Zach Ertz",ARI,"2 out of 5 stars","3 out of 5 stars","25.5","+4"
"14","Logan Thomas",WAS,"4 out of 5 stars","4 out of 5 stars","25.5","-7"
"15","Noah Fant",DEN,"4 out of 5 stars","4 out of 5 stars","24.5","-6"
"16","Tyler Higbee",LAR,"2 out of 5 stars","2 out of 5 stars","23.5","-4"
"17","Hunter Henry",NE,"3 out of 5 stars","3 out of 5 stars","18.8","-1"
"18","Tyler Conklin",MIN,"3 out of 5 stars","4 out of 5 stars","22.5","-"
"19","Evan Engram",NYG,"4 out of 5 stars","3 out of 5 stars","22.5","-1"
"20","Jared Cook",LAC,"3 out of 5 stars","4 out of 5 stars","22.5","-5"
"21","David Njoku",CLE,"4 out of 5 stars","4 out of 5 stars","17.6","+19"
"22","Jonnu Smith",NE,"3 out of 5 stars","3 out of 5 stars","16.8","-8"
"23","Cole Kmet",CHI,"2 out of 5 stars","1 out of 5 stars","21.0","+6"
"24","C.J. Uzomah",CIN,"4 out of 5 stars","4 out of 5 stars","20.0","+14"
"25","Dan Arnold",JAC,"3 out of 5 stars","4 out of 5 stars","19.0","+9"
"26","Gerald Everett",SEA,"3 out of 5 stars","2 out of 5 stars","18.5","-6"
"27","Albert Okwuegbunam",DEN,"4 out of 5 stars","4 out of 5 stars","18.5","-"
"28","Austin Hooper",CLE,"4 out of 5 stars","4 out of 5 stars","13.6","-4"
"29","Jack Doyle",IND,"3 out of 5 stars","3 out of 5 stars","12.8","-"
"30","Juwan Johnson",NO,"4 out of 5 stars","3 out of 5 stars","12.8","-2"
"31","Mo Alie-Cox",IND,"3 out of 5 stars","3 out of 5 stars","12.0","+6"
"32","Brevin Jordan",HOU,"4 out of 5 stars","5 out of 5 stars","12.0","-"
"33","Ricky Seals-Jones",WAS,"4 out of 5 stars","4 out of 5 stars","15.0","-"
"34","Donald Parham Jr.",LAC,"3 out of 5 stars","4 out of 5 stars","14.5","+7"
"35","Josiah Deguara",GB,"2 out of 5 stars","2 out of 5 stars","11.6","-"
"36","Ryan Griffin",NYJ,"3 out of 5 stars","4 out of 5 stars","14.0","-"
"37","Anthony Firkser",TEN,"3 out of 5 stars","3 out of 5 stars","10.8","-16"
"38","Geoff Swaim",TEN,"3 out of 5 stars","3 out of 5 stars","10.8","-"
"39","Foster Moreau",LV,"3 out of 5 stars","3 out of 5 stars","12.5","-"
"40","Cameron Brate",TB,"3 out of 5 stars","2 out of 5 stars","12.0","-"
"41","Tommy Tremble",CAR,"3 out of 5 stars","2 out of 5 stars","9.6","-"
"42","Will Dissly",SEA,"3 out of 5 stars","2 out of 5 stars","11.5","-"
"43","Eric Ebron",PIT,"2 out of 5 stars","3 out of 5 stars","11.5","-8"
"44","Hayden Hurst",ATL,"3 out of 5 stars","3 out of 5 stars","11.5","-13"
"45","Durham Smythe",MIA,"1 out of 5 stars","2 out of 5 stars","9.2","-"
"46","Adam Trautman",NO,"4 out of 5 stars","3 out of 5 stars","10.5","-19"
"47","O.J. Howard",TB,"3 out of 5 stars","2 out of 5 stars","10.0","-25"
"48","Nick Vannett",NO,"4 out of 5 stars","3 out of 5 stars","10.0","-"
"49","Harrison Bryant",CLE,"4 out of 5 stars","4 out of 5 stars","8.0","-"
"50","Jimmy Graham",CHI,"2 out of 5 stars","1 out of 5 stars","9.5","-17"
"51","MyCole Pruitt",TEN,"3 out of 5 stars","3 out of 5 stars","7.2","-"
"52","John Bates",WAS,"4 out of 5 stars","4 out of 5 stars","7.2","-"
"53","Blake Jarwin",DAL,"1 out of 5 stars","2 out of 5 stars","9.0","-27"
"54","Sean McKeon",DAL,"1 out of 5 stars","2 out of 5 stars","7.2","-"
"55","Kyle Rudolph",NYG,"4 out of 5 stars","3 out of 5 stars","8.5","-"
"56","Ian Thomas",CAR,"3 out of 5 stars","2 out of 5 stars","6.4","-"
"57","Adam Shaheen",MIA,"1 out of 5 stars","2 out of 5 stars","6.4","-"
"58","Jordan Akins",HOU,"4 out of 5 stars","5 out of 5 stars","8.0","-35"
"59","Marcedes Lewis",GB,"2 out of 5 stars","2 out of 5 stars","6.0","-"
"60","Jesper Horsted",CHI,"2 out of 5 stars","1 out of 5 stars","5.6","-18"
"61","Tommy Sweeney",BUF,"4 out of 5 stars","4 out of 5 stars","5.6","-"
"62","Tyler Kroft",NYJ,"3 out of 5 stars","4 out of 5 stars","7.0","-"
"63","Ross Dwelley",SF,"3 out of 5 stars","3 out of 5 stars","7.0","-"
"64","Jacob Hollister",JAC,"3 out of 5 stars","4 out of 5 stars","7.0","-"
"65","Pharaoh Brown",HOU,"4 out of 5 stars","5 out of 5 stars","6.5","-"
"66","Chris Herndon IV",MIN,"3 out of 5 stars","4 out of 5 stars","6.5","-41"
"67","Kylen Granson",IND,"3 out of 5 stars","3 out of 5 stars","4.8","-"
"68","Drew Sample",CIN,"4 out of 5 stars","4 out of 5 stars","6.0","-"
"69","James O'Shaughnessy",JAC,"3 out of 5 stars","4 out of 5 stars","6.0","-"
"70","Hunter Long",MIA,"1 out of 5 stars","2 out of 5 stars","4.8","-"
"71","Jacob Harris",LAR,"2 out of 5 stars","2 out of 5 stars","4.4","-"
"72","Josh Oliver",BAL,"3 out of 5 stars","4 out of 5 stars","4.4","-"
"73","Nick Boyle",BAL,"3 out of 5 stars","4 out of 5 stars","5.5","-"
"74","Jace Sternberger",PIT,"2 out of 5 stars","3 out of 5 stars","4.4","-"
"75","Tre' McKitty",LAC,"3 out of 5 stars","4 out of 5 stars","4.0","-"
"76","Brycen Hopkins",LAR,"2 out of 5 stars","2 out of 5 stars","4.0","-"
"77","Luke Farrell",JAC,"3 out of 5 stars","4 out of 5 stars","4.0","-"
"78","Darren Fells",TB,"3 out of 5 stars","2 out of 5 stars","5.0","-"
