"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Davante Adams",GB,"4 out of 5 stars","3 out of 5 stars","54.0","0"
"2","Cooper Kupp",LAR,"3 out of 5 stars","2 out of 5 stars","65.0","+17"
"3","Tyreek Hill",KC,"3 out of 5 stars","3 out of 5 stars","59.5","-1"
"4","Cordarrelle Patterson",ATL,"3 out of 5 stars","4 out of 5 stars","46.0","+83"
"5","Justin Jefferson",MIN,"3 out of 5 stars","3 out of 5 stars","56.0","+2"
"6","Stefon Diggs",BUF,"1 out of 5 stars","3 out of 5 stars","55.0","-3"
"7","Ja'Marr Chase",CIN,"2 out of 5 stars","2 out of 5 stars","54.5","+19"
"8","CeeDee Lamb",DAL,"4 out of 5 stars","3 out of 5 stars","54.0","+4"
"9","Deebo Samuel",SF,"3 out of 5 stars","4 out of 5 stars","49.5","+26"
"10","Mike Evans",TB,"4 out of 5 stars","5 out of 5 stars","49.0","+1"
"11","D.K. Metcalf",SEA,"4 out of 5 stars","4 out of 5 stars","48.0","-7"
"12","Terry McLaurin",WAS,"3 out of 5 stars","3 out of 5 stars","48.0","-2"
"13","Marquise Brown",BAL,"3 out of 5 stars","3 out of 5 stars","47.5","+36"
"14","Adam Thielen",MIN,"3 out of 5 stars","3 out of 5 stars","47.0","+4"
"15","Diontae Johnson",PIT,"3 out of 5 stars","3 out of 5 stars","46.5","+7"
"16","Chris Godwin",TB,"4 out of 5 stars","5 out of 5 stars","46.5","-2"
"17","Michael Pittman Jr.",IND,"3 out of 5 stars","3 out of 5 stars","36.8","+26"
"18","Keenan Allen",LAC,"3 out of 5 stars","2 out of 5 stars","45.0","-9"
"19","Jaylen Waddle",MIA,"5 out of 5 stars","5 out of 5 stars","35.6","+25"
"20","D.J. Moore",CAR,"3 out of 5 stars","2 out of 5 stars","35.6","0"
"21","DeAndre Hopkins",ARI,"3 out of 5 stars","2 out of 5 stars","44.0","-16"
"22","Tee Higgins",CIN,"2 out of 5 stars","2 out of 5 stars","42.5","+5"
"23","Amari Cooper",DAL,"4 out of 5 stars","3 out of 5 stars","42.5","-6"
"24","Tyler Lockett",SEA,"4 out of 5 stars","4 out of 5 stars","42.0","-3"
"25","DeVonta Smith",PHI,"4 out of 5 stars","3 out of 5 stars","32.8","+8"
"26","Mike Williams",LAC,"3 out of 5 stars","2 out of 5 stars","40.5","+19"
"27","Brandon Aiyuk",SF,"3 out of 5 stars","4 out of 5 stars","40.5","-4"
"28","A.J. Brown",TEN,"3 out of 5 stars","4 out of 5 stars","32.0","-20"
"29","Chase Claypool",PIT,"3 out of 5 stars","3 out of 5 stars","40.0","-5"
"30","Brandin Cooks",HOU,"2 out of 5 stars","3 out of 5 stars","40.0","+9"
"31","Darnell Mooney",CHI,"2 out of 5 stars","3 out of 5 stars","39.5","+22"
"32","Antonio Brown",TB,"4 out of 5 stars","5 out of 5 stars","38.5","+4"
"33","Michael Gallup",DAL,"4 out of 5 stars","3 out of 5 stars","38.5","+15"
"34","Jerry Jeudy",DEN,"3 out of 5 stars","4 out of 5 stars","38.0","-3"
"35","Elijah Moore",NYJ,"3 out of 5 stars","3 out of 5 stars","38.0","+25"
"36","Rashod Bateman",BAL,"3 out of 5 stars","3 out of 5 stars","37.5","+35"
"37","Hunter Renfrow",LV,"2 out of 5 stars","2 out of 5 stars","37.0","+70"
"38","Van Jefferson",LAR,"3 out of 5 stars","2 out of 5 stars","37.0","+105"
"39","Odell Beckham Jr.",LAR,"3 out of 5 stars","2 out of 5 stars","36.5","-14"
"40","Courtland Sutton",DEN,"3 out of 5 stars","4 out of 5 stars","36.5","-8"
"41","Christian Kirk",ARI,"3 out of 5 stars","2 out of 5 stars","36.5","+33"
"42","Jakobi Meyers",NE,"2 out of 5 stars","2 out of 5 stars","28.4","+15"
"43","Emmanuel Sanders",BUF,"1 out of 5 stars","3 out of 5 stars","35.5","+33"
"44","Corey Davis",NYJ,"3 out of 5 stars","3 out of 5 stars","35.0","-3"
"45","Marvin Jones Jr.",JAC,"3 out of 5 stars","3 out of 5 stars","34.0","+9"
"46","Jarvis Landry",CLE,"3 out of 5 stars","3 out of 5 stars","27.2","-6"
"47","Marquez Valdes-Scantling",GB,"4 out of 5 stars","3 out of 5 stars","26.8","+22"
"48","Kadarius Toney",NYG,"4 out of 5 stars","4 out of 5 stars","33.0","+29"
"49","Tim Patrick",DEN,"3 out of 5 stars","4 out of 5 stars","33.0","+69"
"50","Cole Beasley",BUF,"1 out of 5 stars","3 out of 5 stars","32.0","+5"
"51","DeVante Parker",MIA,"5 out of 5 stars","5 out of 5 stars","25.2","+5"
"52","Kenny Golladay",NYG,"4 out of 5 stars","4 out of 5 stars","31.5","-23"
"53","Tre'Quan Smith",NO,"4 out of 5 stars","3 out of 5 stars","31.0","+25"
"54","Sterling Shepard",NYG,"4 out of 5 stars","4 out of 5 stars","31.0","+8"
"55","Kendrick Bourne",NE,"2 out of 5 stars","2 out of 5 stars","24.4","+83"
"56","Julio Jones",TEN,"3 out of 5 stars","4 out of 5 stars","23.2","-40"
"57","Tyler Boyd",CIN,"2 out of 5 stars","2 out of 5 stars","29.0","-20"
"58","Allen Robinson II",CHI,"2 out of 5 stars","3 out of 5 stars","29.0","-45"
"59","Marquez Callaway",NO,"4 out of 5 stars","3 out of 5 stars","28.5","-13"
"60","Laviska Shenault Jr.",JAC,"3 out of 5 stars","3 out of 5 stars","28.0","-18"
"61","Jamison Crowder",NYJ,"3 out of 5 stars","3 out of 5 stars","28.0","+11"
"62","A.J. Green",ARI,"3 out of 5 stars","2 out of 5 stars","27.5","+4"
"63","Donovan Peoples-Jones",CLE,"3 out of 5 stars","3 out of 5 stars","22.0","+22"
"64","Bryan Edwards",LV,"2 out of 5 stars","2 out of 5 stars","27.0","-3"
"65","Rondale Moore",ARI,"3 out of 5 stars","2 out of 5 stars","26.5","-2"
"66","T.Y. Hilton",IND,"3 out of 5 stars","3 out of 5 stars","21.2","+7"
"67","Robby Anderson",CAR,"3 out of 5 stars","2 out of 5 stars","20.8","-33"
"68","Russell Gage",ATL,"2 out of 5 stars","2 out of 5 stars","26.0","-10"
"69","Deonte Harris",NO,"4 out of 5 stars","3 out of 5 stars","25.5","+51"
"70","Nelson Agholor",NE,"2 out of 5 stars","2 out of 5 stars","20.4","-11"
"71","Amon-Ra St. Brown",DET,"3 out of 5 stars","3 out of 5 stars","25.0","-4"
"72","Nick Westbrook-Ikhine",TEN,"3 out of 5 stars","4 out of 5 stars","19.6","+152"
"73","Allen Lazard",GB,"4 out of 5 stars","3 out of 5 stars","18.8","+2"
"74","Calvin Ridley",ATL,"2 out of 5 stars","2 out of 5 stars","23.5","-68"
"75","Zach Pascal",IND,"3 out of 5 stars","3 out of 5 stars","18.8","+53"
